time,x,y,z
2.189999999999999947e+00,-9.876901788926652159e+00,-9.452178261549615712e+00,2.924877095494785095e+01
2.220000000000000195e+00,-9.673236583950201251e+00,-8.756500856333479632e+00,2.957009684800277327e+01
2.250000000000000000e+00,-9.337374413038519450e+00,-8.043702011595563306e+00,2.959907694592028804e+01
2.280000000000000249e+00,-8.911487025326833233e+00,-7.400715593982352125e+00,2.935208103498765908e+01
2.310000000000000053e+00,-8.446360574152851797e+00,-6.890632048360297190e+00,2.887856544951882753e+01
2.339999999999999858e+00,-7.991954674687143267e+00,-6.547302301547511583e+00,2.824465092819754020e+01
2.370000000000000107e+00,-7.590413181302861467e+00,-6.379412837808089876e+00,2.751898266919200253e+01
2.399999999999999911e+00,-7.272696999591804712e+00,-6.379040616130070340e+00,2.676436865294103740e+01
2.430000000000000160e+00,-7.058376104399974871e+00,-6.530011710153174498e+00,2.603493980938335284e+01
2.459999999999999964e+00,-6.957301184318112952e+00,-6.813517162282169082e+00,2.537678579887486663e+01
2.490000000000000213e+00,-6.971838134935567588e+00,-7.210414715378252737e+00,2.482994964743455313e+01
2.520000000000000018e+00,-7.098713637775452057e+00,-7.700719719360844095e+00,2.443027303400893402e+01
2.550000000000000266e+00,-7.329958377559637306e+00,-8.261137629413120465e+00,2.421013339006334064e+01
2.580000000000000071e+00,-7.652800324726666048e+00,-8.861567267278417148e+00,2.419738960995316290e+01
2.609999999999999876e+00,-8.048657002218654100e+00,-9.461674354439690404e+00,2.441198634544683799e+01
2.640000000000000124e+00,-8.491672394109087918e+00,-1.000905000028730818e+01,2.485996313125694357e+01
2.669999999999999929e+00,-8.947592986273578575e+00,-1.044097561375932770e+01,2.552544081103461693e+01
2.700000000000000178e+00,-9.374122287920620522e+00,-1.069184495099263366e+01,2.636272985217036791e+01
2.729999999999999982e+00,-9.723990825689289963e+00,-1.070693586158652444e+01,2.729263820742870905e+01
2.760000000000000231e+00,-9.951431669248673728e+00,-1.045990918928147195e+01,2.820790863854207586e+01
2.790000000000000036e+00,-1.002131020511908233e+01,-9.967236734608420079e+00,2.899041798726369734e+01
2.819999999999999840e+00,-9.918244795932615432e+00,-9.291099095710974254e+00,2.953675908008170836e+01
2.850000000000000089e+00,-9.651958338447371943e+00,-8.526465918038081071e+00,2.978241620817042801e+01
2.879999999999999893e+00,-9.256111073504770914e+00,-7.776820668253679791e+00,2.971371663436137212e+01
2.910000000000000142e+00,-8.780801958671045071e+00,-7.129692493620273908e+00,2.936328068835252836e+01
2.939999999999999947e+00,-8.281850433908671150e+00,-6.642142885479199066e+00,2.879380636750501665e+01
2.970000000000000195e+00,-7.810895367705647629e+00,-6.339185884415917904e+00,2.807950218095531980e+01
3.000000000000000000e+00,-7.409047019781464627e+00,-6.221260951618773127e+00,2.729236568225439541e+01
3.030000000000000249e+00,-7.104665909313323979e+00,-6.274568240406281916e+00,2.649551747160646187e+01
3.060000000000000053e+00,-6.914239885468169255e+00,-6.479660990517958297e+00,2.574210753614218916e+01
3.089999999999999858e+00,-6.844777341113011282e+00,-6.816386430556863552e+00,2.507716274217645491e+01
3.120000000000000107e+00,-6.896345489881855251e+00,-7.265193955643789003e+00,2.454019360911346226e+01
3.149999999999999911e+00,-7.063879644294675408e+00,-7.805641081969787010e+00,2.416718186228042597e+01
3.180000000000000160e+00,-7.337860585589682572e+00,-8.413069372276408942e+00,2.399109411714803386e+01
3.209999999999999964e+00,-7.703812537196876420e+00,-9.054434631759031404e+00,2.404024878374217877e+01
3.240000000000000213e+00,-8.140865632609243008e+00,-9.684516329375981059e+00,2.433394372374027981e+01
3.270000000000000018e+00,-8.619951199694726895e+00,-1.024429861604767211e+01,2.487512179729391448e+01
3.300000000000000266e+00,-9.102606110243698367e+00,-1.066393583965106728e+01,2.564094749600548084e+01
3.330000000000000071e+00,-9.541751516130204891e+00,-1.087259519861714452e+01,2.657418457458280514e+01
3.359999999999999876e+00,-9.885838174852510818e+00,-1.081545678426394730e+01,2.758053632145273326e+01
3.390000000000000124e+00,-1.008691488673006553e+01,-1.047377244552468945e+01,2.853760596343146005e+01
3.419999999999999929e+00,-1.011127327904434914e+01,-9.879077743228323882e+00,2.931736577450367420e+01
3.450000000000000178e+00,-9.949104503135327349e+00,-9.112006953190618930e+00,2.981613572744238994e+01
3.479999999999999982e+00,-9.618798012252318230e+00,-8.282990017587229303e+00,2.997931975668495852e+01
3.510000000000000231e+00,-9.163423913176472979e+00,-7.502931556045686179e+00,2.980942039085608641e+01
3.540000000000000036e+00,-8.640713254096411333e+00,-6.857821762686560518e+00,2.935554328797658030e+01
3.570000000000000284e+00,-8.110807415097745832e+00,-6.397151194763476489e+00,2.869267583539735966e+01
3.600000000000000089e+00,-7.626236804896694643e+00,-6.136583138391121572e+00,2.790171904607930742e+01
